Year,Artist,Song Title,Reason
2021,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,Language
2021,"Black Eyed Peas, Shakira",GIRL LIKE ME,Sexual Content
2021,blackbear,me & ur ghost,Language
2021,blackbear,if i were u (with Lauv),Language
2020,blackbear,Hot Girl Bummer,Language
2014,Blackout Ft  Jah-Fu,My Nutty Buddies,Sexual Content
2021,BLACKPINK,Lovesick Girls,Content - Sad
2021,BLACKPINK,Crazy Over You,Language
2021,BLACKPINK,Pretty Savage,Language
2020,Blackpink,How you like that,Language
2021,BLACKPINK,Love To Hate Me,Language
2021,BLACKPINK,Ice Cream (with Selena Gomez),Language / Content
2021,BLACKPINK,Kill This Love,Language / Content
2021,BLACKPINK,Bet You Wanna (feat. Cardi B),Sexual Content
2010,Blackstreet ft. Dr.Dre,No Diggity,Language
Year,Artist,Song Title,Reason
2016,Blake Shelton,Gonna,Language / Content
2019,Blake Shelton,God's Country,Religion
2020,Blake Shelton Duet With Gwen Stefani,Nobody But You,Sexual Content
2013,Blake Shelton ft. Pistol Annies and Friends,Boys 'Round Here,Language
2014,Bleachers,I Wanna Get Better,Content - Sad
2018,BlocBoy JB,Look Alive (feat. Drake),Language
2016,Blonde & Craig David,Nothing Like This,Sexual Content
2020,Blondie,Heart of Glass,Language
2019,Blueface,Thotiana,Language
2011,Blush ft. Snoop Dogg,Undivided,Sexual Content
2021,"Blxst, Tyga",Chosen (feat. Ty Dolla $ign),Language / Content
2021,Bo Burnham,All Eyes On Me,Language
2021,Bo Burnham,Bezos I,Language
2012,Bob Sinclair ft. Snoop Dogg,Wild Thing,Sexual Content
2015,"Bobby Brackins ft. IamSu, Too Short & Mila J",Hot Box,Language
2011,Bow Wow ft. Lil Wayne,Sweat,Language
2014,Brantley Gilbert,Bottoms Up,Language
2021,Brent Faiyaz,Wasting Time ( feat. Drake ),Language
2021,"Brent Faiyaz, DJ Dahi","Gravity (feat. Tyler, The Creator)",Language
2016,Brett Eldredge,Drunk on your Love,Drinking / Drugs / Partying
